LearningPlatformSelect,LearningPlatformUsefulnessArxiv,LearningPlatformUsefulnessBlogs,LearningPlatformUsefulnessCollege,LearningPlatformUsefulnessCompany,LearningPlatformUsefulnessConferences,LearningPlatformUsefulnessFriends,LearningPlatformUsefulnessKaggle,LearningPlatformUsefulnessNewsletters,LearningPlatformUsefulnessCommunities,LearningPlatformUsefulnessDocumentation,LearningPlatformUsefulnessCourses,LearningPlatformUsefulnessProjects,LearningPlatformUsefulnessPodcasts,LearningPlatformUsefulnessSO,LearningPlatformUsefulnessTextbook,LearningPlatformUsefulnessTradeBook,LearningPlatformUsefulnessTutoring,LearningPlatformUsefulnessYouTube
"Blogs,Online courses,Podcasts,Stack Overflow Q&A,Textbook,YouTube Videos",,Somewhat useful,,,,,,,,,Very useful,,Somewhat useful,Somewhat useful,Very useful,,,Very useful
Online courses,,,,,,,,,,,Very useful,,,,,,,
"Blogs,College/University,Kaggle,Official documentation,Online courses,Personal Projects,Stack Overflow Q&A,Textbook,YouTube Videos",,Very useful,Very useful,,,,Very useful,,,Very useful,Very useful,Very useful,,,Very useful,,,Very useful
"Arxiv,Blogs,Stack Overflow Q&A,Textbook,YouTube Videos",Very useful,Very useful,,,,,,,,,,,,Somewhat useful,Somewhat useful,,,Somewhat useful
"Personal Projects,Textbook",,,,,,,,,,,,Somewhat useful,,,Somewhat useful,,,
"Arxiv,Blogs,College/University,Conferences,Kaggle,Newsletters,Official documentation,Online courses,Personal Projects,Podcasts,Stack Overflow Q&A,Textbook,YouTube Videos",Somewhat useful,Very useful,Very useful,,Not Useful,,Very useful,Not Useful,,Somewhat useful,Very useful,Very useful,Somewhat useful,Very useful,Very useful,,,Very useful
"Blogs,Kaggle,Online courses,Personal Projects,YouTube Videos",,Somewhat useful,,,,,Very useful,,,,Very useful,Very useful,,,,,,Somewhat useful
College/University,,,Very useful,,,,,,,,,,,,,,,
"Stack Overflow Q&A,Other",,,,,,,,,,,,,,Somewhat useful,,,,
"Arxiv,Blogs,College/University,Conferences,Kaggle,Newsletters,Non-Kaggle online communities,Official documentation,Online courses,Personal Projects,Stack Overflow Q&A,Tutoring/mentoring,YouTube Videos",Very useful,Very useful,Very useful,,Very useful,,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,,Very useful,,,Very useful,Very useful
"Blogs,Kaggle,Podcasts,Stack Overflow Q&A,YouTube Videos",,Somewhat useful,,,,,Very useful,,,,,,Very useful,Very useful,,,,Somewhat useful
"Personal Projects,YouTube Videos",,,,,,,,,,,,Very useful,,,,,,Very useful
"Blogs,College/University,Conferences,Newsletters,Non-Kaggle online communities,Online courses,Personal Projects,YouTube Videos",,Very useful,Somewhat useful,,Very useful,,,Very useful,Very useful,,Very useful,Very useful,,,,,,Very useful
"Kaggle,Personal Projects,Podcasts,Stack Overflow Q&A",,,,,,,Somewhat useful,,,,,Somewhat useful,Somewhat useful,Somewhat useful,,,,
"Arxiv,Blogs,Kaggle",Very useful,Very useful,,,,,Very useful,,,,,,,,,,,
"Arxiv,Blogs,College/University,Conferences,Friends network,Kaggle,Newsletters,Official documentation,Online courses,Personal Projects,Podcasts,Stack Overflow Q&A,Textbook,Tutoring/mentoring,YouTube Videos",Somewhat useful,Somewhat useful,Very useful,,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,,Very useful,Very useful,Very useful,Somewhat useful,Very useful,Very useful,,Very useful,Very useful
"Blogs,Conferences,Online courses,Personal Projects,Podcasts,Stack Overflow Q&A,Textbook,Tutoring/mentoring,YouTube Videos",,Somewhat useful,,,Somewhat useful,,,,,,Somewhat useful,Very useful,Somewhat useful,Very useful,Somewhat useful,,Somewhat useful,Somewhat useful
"Online courses,Textbook,YouTube Videos",,,,,,,,,,,Somewhat useful,,,,Very useful,,,Somewhat useful
"Kaggle,Tutoring/mentoring,YouTube Videos",,,,,,,Very useful,,,,,,,,,,Very useful,Very useful
,,,,,,,,,,,,,,,,,,
"Arxiv,Blogs,Friends network,Kaggle,Personal Projects",Very useful,Somewhat useful,,,,Somewhat useful,Very useful,,,,,Somewhat useful,,,,,,
"Blogs,Official documentation",,Somewhat useful,,,,,,,,Very useful,,,,,,,,
"Conferences,Friends network,Online courses,Textbook,YouTube Videos,Other",,,,,Somewhat useful,Somewhat useful,,,,,Very useful,,,,Very useful,,,Very useful
"Kaggle,Online courses,YouTube Videos",,,,,,,Very useful,,,,Very useful,,,,,,,Somewhat useful
"Arxiv,Blogs,College/University,Online courses,Personal Projects,Stack Overflow Q&A,Textbook,YouTube Videos",Somewhat useful,Somewhat useful,Very useful,,,,,,,,Very useful,Very useful,,Somewhat useful,Very useful,,,Very useful
"Kaggle,Online courses,Podcasts,Stack Overflow Q&A,YouTube Videos",,,,,,,Very useful,,,,Very useful,,Very useful,Very useful,,,,Very useful
"Arxiv,Blogs,College/University,Kaggle,Online courses,Stack Overflow Q&A,YouTube Videos",Somewhat useful,Somewhat useful,Very useful,,,,Somewhat useful,,,,Very useful,,,Somewhat useful,,,,Very useful
"Kaggle,Online courses,Stack Overflow Q&A,Textbook,YouTube Videos",,,,,,,Somewhat useful,,,,Very useful,,,Somewhat useful,Somewhat useful,,,Somewhat useful
Arxiv,Somewhat useful,,,,,,,,,,,,,,,,,
"Blogs,College/University,Kaggle,Online courses,Personal Projects,Stack Overflow Q&A",,Somewhat useful,Somewhat useful,,,,Very useful,,,,Very useful,Very useful,,Not Useful,,,,
Online courses,,,,,,,,,,,Very useful,,,,,,,
"Arxiv,Kaggle,Newsletters,Official documentation,Stack Overflow Q&A,Tutoring/mentoring",Very useful,,,,,,Very useful,Somewhat useful,,Very useful,,,,Very useful,,,Very useful,
Kaggle,,,,,,,Very useful,,,,,,,,,,,
"Blogs,College/University,Kaggle,Newsletters,Online courses,Textbook,YouTube Videos",,Somewhat useful,Somewhat useful,,,,Very useful,Somewhat useful,,,Very useful,,,,Very useful,,,Very useful
"Non-Kaggle online communities,Online courses",,,,,,,,,Very useful,,Very useful,,,,,,,
"Company internal community,Conferences,Kaggle,Online courses,Personal Projects,YouTube Videos",,,,Very useful,Somewhat useful,,Somewhat useful,,,,Very useful,Very useful,,,,,,Somewhat useful
Stack Overflow Q&A,,,,,,,,,,,,,,Very useful,,,,
"Kaggle,Personal Projects,Textbook,YouTube Videos",,,,,,,Very useful,,,,,Very useful,,,Very useful,,,Very useful
"Blogs,Company internal community,Conferences,Kaggle,Tutoring/mentoring,YouTube Videos",,Very useful,,Somewhat useful,Not Useful,,Somewhat useful,,,,,,,,,,Somewhat useful,Very useful
"Blogs,College/University,Conferences,Kaggle,Online courses,Personal Projects,Stack Overflow Q&A,YouTube Videos",,Very useful,Somewhat useful,,Very useful,,Very useful,,,,Very useful,Somewhat useful,,Very useful,,,,Somewhat useful
"Arxiv,Blogs,College/University,Official documentation,Stack Overflow Q&A,YouTube Videos",Very useful,Very useful,Very useful,,,,,,,Very useful,,,,Very useful,,,,Very useful
"Arxiv,Stack Overflow Q&A",Very useful,,,,,,,,,,,,,Somewhat useful,,,,
"Company internal community,Kaggle,Online courses,Stack Overflow Q&A",,,,Somewhat useful,,,Somewhat useful,,,,Somewhat useful,,,Somewhat useful,,,,
,,,,,,,,,,,,,,,,,,
"Online courses,YouTube Videos",,,,,,,,,,,Very useful,,,,,,,Very useful
"College/University,Kaggle,Online courses,Personal Projects,Stack Overflow Q&A,YouTube Videos",,,Very useful,,,,Very useful,,,,Very useful,Somewhat useful,,Somewhat useful,,,,Somewhat useful
Arxiv,Very useful,,,,,,,,,,,,,,,,,
"Kaggle,Personal Projects",,,,,,,Somewhat useful,,,,,Somewhat useful,,,,,,
"Blogs,College/University,Stack Overflow Q&A,Textbook",,Somewhat useful,Somewhat useful,,,,,,,,,,,Very useful,Very useful,,,
"Blogs,Conferences,Official documentation,Textbook,YouTube Videos",,Somewhat useful,,,Somewhat useful,,,,,Very useful,,,,,Very useful,,,Somewhat useful
"Kaggle,Personal Projects,Podcasts,Textbook,YouTube Videos",,,,,,,Very useful,,,,,Very useful,Very useful,,Very useful,,,Very useful
"Blogs,College/University,Conferences,Friends network,Kaggle,Official documentation,Online courses,Personal Projects,Stack Overflow Q&A,Textbook,YouTube Videos",,Somewhat useful,Very useful,,Somewhat useful,Somewhat useful,Somewhat useful,,,Somewhat useful,Somewhat useful,Somewhat useful,,Somewhat useful,Very useful,,,Somewhat useful
"Arxiv,Blogs,Kaggle,Non-Kaggle online communities,Online courses,Stack Overflow Q&A,Textbook",Very useful,Somewhat useful,,,,,Very useful,,Somewhat useful,,Somewhat useful,,,Somewhat useful,Very useful,,,
"Conferences,Friends network,Online courses,Stack Overflow Q&A,Textbook",,,,,Very useful,Very useful,,,,,Very useful,,,Very useful,Somewhat useful,,,
"Blogs,Kaggle,Official documentation,Online courses,YouTube Videos",,Somewhat useful,,,,,Somewhat useful,,,Somewhat useful,Somewhat useful,,,,,,,Somewhat useful
"College/University,Kaggle",,,Somewhat useful,,,,Very useful,,,,,,,,,,,
"Blogs,Kaggle,Official documentation,Tutoring/mentoring",,Very useful,,,,,Very useful,,,Somewhat useful,,,,,,,Somewhat useful,
College/University,,,Somewhat useful,,,,,,,,,,,,,,,
Conferences,,,,,Somewhat useful,,,,,,,,,,,,,
"College/University,Conferences,Friends network,Kaggle,Newsletters,Online courses,Personal Projects,Tutoring/mentoring",,,Very useful,,Somewhat useful,Somewhat useful,Very useful,Somewhat useful,,,Somewhat useful,Very useful,,,,,Very useful,
"College/University,Kaggle,Online courses,Stack Overflow Q&A,Textbook,YouTube Videos",,,Very useful,,,,Very useful,,,,Very useful,,,Very useful,Very useful,,,Very useful
"Blogs,Kaggle,Newsletters,Online courses,Stack Overflow Q&A,YouTube Videos",,Somewhat useful,,,,,Somewhat useful,Somewhat useful,,,Somewhat useful,,,Somewhat useful,,,,Somewhat useful
"Blogs,College/University,Friends network,Kaggle,Personal Projects,Stack Overflow Q&A,YouTube Videos",,Somewhat useful,Very useful,,,Very useful,Very useful,,,,,Very useful,,Very useful,,,,Very useful
"Blogs,Conferences,Kaggle,Online courses,Personal Projects,Stack Overflow Q&A,Textbook,Tutoring/mentoring",,Somewhat useful,,,Somewhat useful,,Very useful,,,,Very useful,Very useful,,Very useful,Very useful,,Very useful,
"Blogs,Kaggle,Official documentation,Online courses,Personal Projects,Stack Overflow Q&A,Textbook,Tutoring/mentoring,YouTube Videos",,Somewhat useful,,,,,Somewhat useful,,,Very useful,Very useful,Very useful,,Very useful,Very useful,,Very useful,Somewhat useful
"College/University,Kaggle,Official documentation,Stack Overflow Q&A",,,Somewhat useful,,,,Somewhat useful,,,Very useful,,,,Somewhat useful,,,,
"Arxiv,College/University,Conferences,Kaggle,Non-Kaggle online communities,Official documentation,Stack Overflow Q&A,Textbook,YouTube Videos",Somewhat useful,,Somewhat useful,,Somewhat useful,,Very useful,,Not Useful,Somewhat useful,,,,Very useful,Very useful,,,Very useful
"Conferences,Online courses,Stack Overflow Q&A",,,,,Somewhat useful,,,,,,Somewhat useful,,,Very useful,,,,
"Blogs,Online courses,Personal Projects,Stack Overflow Q&A,Textbook,YouTube Videos",,Somewhat useful,,,,,,,,,Very useful,Very useful,,Very useful,Somewhat useful,,,Somewhat useful
"Textbook,YouTube Videos",,,,,,,,,,,,,,,Somewhat useful,,,Somewhat useful
"Blogs,Kaggle,Online courses,Stack Overflow Q&A",,Somewhat useful,,,,,Somewhat useful,,,,Very useful,,,Very useful,,,,
"Blogs,College/University,Kaggle,Non-Kaggle online communities,Personal Projects,Textbook,YouTube Videos",,Somewhat useful,Very useful,,,,Somewhat useful,,Very useful,,,Very useful,,,Very useful,,,Very useful
"Kaggle,Official documentation,Personal Projects,Stack Overflow Q&A,Textbook",,,,,,,Somewhat useful,,,Somewhat useful,,Somewhat useful,,Somewhat useful,Somewhat useful,,,
,,,,,,,,,,,,,,,,,,
"Kaggle,Personal Projects",,,,,,,Somewhat useful,,,,,Very useful,,,,,,
"Arxiv,Blogs,Kaggle,Non-Kaggle online communities,Online courses,Personal Projects,Stack Overflow Q&A,YouTube Videos",Somewhat useful,Somewhat useful,,,,,Somewhat useful,,Somewhat useful,,Somewhat useful,Very useful,,Very useful,,,,Somewhat useful
"College/University,Online courses,Personal Projects,Stack Overflow Q&A",,,Somewhat useful,,,,,,,,Somewhat useful,Very useful,,Very useful,,,,
"Blogs,Official documentation,Personal Projects,Stack Overflow Q&A",,Somewhat useful,,,,,,,,Somewhat useful,,Very useful,,Very useful,,,,
"Kaggle,Non-Kaggle online communities,Stack Overflow Q&A,YouTube Videos",,,,,,,Somewhat useful,,Very useful,,,,,Somewhat useful,,,,Somewhat useful
"Arxiv,College/University,Conferences",Somewhat useful,,Very useful,,Very useful,,,,,,,,,,,,,
"Blogs,Kaggle,Online courses,Textbook,YouTube Videos",,Somewhat useful,,,,,Very useful,,,,Very useful,,,,Very useful,,,Very useful
"Blogs,Kaggle,Online courses,Stack Overflow Q&A,Other",,Somewhat useful,,,,,Somewhat useful,,,,Somewhat useful,,,Very useful,,,,
"Arxiv,Blogs,Conferences,Friends network,Personal Projects,Podcasts,Stack Overflow Q&A",Very useful,Somewhat useful,,,Not Useful,Very useful,,,,,,Very useful,Somewhat useful,Very useful,,,,
,,,,,,,,,,,,,,,,,,
"Blogs,College/University,Conferences,Friends network,Personal Projects,Textbook",,Somewhat useful,Somewhat useful,,Somewhat useful,Somewhat useful,,,,,,Very useful,,,Somewhat useful,,,
"Blogs,College/University,Company internal community,Friends network,Newsletters,Official documentation,Online courses,Personal Projects,Stack Overflow Q&A,Textbook",,Very useful,Very useful,Somewhat useful,,Somewhat useful,,Somewhat useful,,Somewhat useful,Somewhat useful,Very useful,,Very useful,Very useful,,,
"Friends network,Kaggle,Online courses,Personal Projects,YouTube Videos",,,,,,Very useful,Very useful,,,,Very useful,Very useful,,,,,,Very useful
"Kaggle,Stack Overflow Q&A",,,,,,,Very useful,,,,,,,Very useful,,,,
"Conferences,Kaggle,Textbook",,,,,Very useful,,Somewhat useful,,,,,,,,Very useful,,,
"Blogs,Kaggle,Online courses",,Very useful,,,,,Very useful,,,,Very useful,,,,,,,
"Arxiv,Blogs,College/University,Friends network,Textbook,YouTube Videos",Very useful,Somewhat useful,Somewhat useful,,,Somewhat useful,,,,,,,,,Very useful,,,Very useful
"Kaggle,YouTube Videos",,,,,,,Very useful,,,,,,,,,,,Very useful
"Kaggle,Official documentation,Online courses,Personal Projects",,,,,,,Very useful,,,Very useful,Very useful,Very useful,,,,,,
"Kaggle,Stack Overflow Q&A",,,,,,,Very useful,,,,,,,Somewhat useful,,,,
"Personal Projects,Stack Overflow Q&A,YouTube Videos",,,,,,,,,,,,Somewhat useful,,Somewhat useful,,,,Somewhat useful
"Online courses,Stack Overflow Q&A",,,,,,,,,,,Very useful,,,Very useful,,,,
"Arxiv,Blogs,College/University,Company internal community,Kaggle,Non-Kaggle online communities,Online courses,Personal Projects,Stack Overflow Q&A,Textbook,Trade book,YouTube Videos,Other,Other",Very useful,Somewhat useful,Somewhat useful,Very useful,,,Somewhat useful,,Somewhat useful,,Somewhat useful,Somewhat useful,,Somewhat useful,Very useful,Very useful,,Somewhat useful
"Arxiv,Blogs,College/University,Kaggle,Personal Projects,Stack Overflow Q&A",Very useful,Somewhat useful,Not Useful,,,,Very useful,,,,,Somewhat useful,,Very useful,,,,
"Arxiv,Textbook",Very useful,,,,,,,,,,,,,,Somewhat useful,,,
"Arxiv,Blogs,College/University,Company internal community,Conferences,Friends network,Kaggle,Newsletters,Official documentation,Online courses,Personal Projects,Podcasts,Stack Overflow Q&A,Textbook,YouTube Videos",Very useful,Very useful,Very useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Very useful,,Very useful,Very useful,Very useful,Somewhat useful,Very useful,Very useful,,,Very useful
"Arxiv,Conferences,Kaggle,Stack Overflow Q&A,YouTube Videos",Very useful,,,,Somewhat useful,,Somewhat useful,,,,,,,Somewhat useful,,,,Very useful
"Friends network,Online courses,Podcasts",,,,,,Somewhat useful,,,,,Somewhat useful,,Somewhat useful,,,,,
"Online courses,Personal Projects,Stack Overflow Q&A",,,,,,,,,,,Very useful,Very useful,,Somewhat useful,,,,
"Other,Other",,,,,,,,,,,,,,,,,,
"Blogs,Conferences,Kaggle",,Very useful,,,Very useful,,Very useful,,,,,,,,,,,
"College/University,Conferences,Online courses,Textbook,YouTube Videos",,,Very useful,,Somewhat useful,,,,,,Very useful,,,,Very useful,,,Very useful
"College/University,Kaggle,Stack Overflow Q&A,Textbook,YouTube Videos",,,Somewhat useful,,,,Somewhat useful,,,,,,,Somewhat useful,Somewhat useful,,,Somewhat useful
"Arxiv,Blogs,College/University,Conferences,Non-Kaggle online communities,Online courses,Stack Overflow Q&A,Textbook,YouTube Videos",Very useful,Somewhat useful,Very useful,,Very useful,,,,Somewhat useful,,Very useful,,,Somewhat useful,Somewhat useful,,,Very useful
Kaggle,,,,,,,Somewhat useful,,,,,,,,,,,
"Arxiv,Blogs,Kaggle,Personal Projects",Somewhat useful,Very useful,,,,,Very useful,,,,,Very useful,,,,,,
"College/University,Kaggle,Podcasts,Stack Overflow Q&A,YouTube Videos",,,Very useful,,,,Somewhat useful,,,,,,Somewhat useful,Very useful,,,,Very useful
Other,,,,,,,,,,,,,,,,,,
"Kaggle,Online courses,Stack Overflow Q&A,YouTube Videos",,,,,,,Very useful,,,,Somewhat useful,,,Somewhat useful,,,,Very useful
"Blogs,College/University,Kaggle,Online courses,Personal Projects,YouTube Videos",,Somewhat useful,Somewhat useful,,,,Somewhat useful,,,,Very useful,Very useful,,,,,,Somewhat useful
"Arxiv,Blogs,College/University,Kaggle,Newsletters,Online courses,Podcasts,Stack Overflow Q&A,Textbook,Tutoring/mentoring,YouTube Videos",Very useful,Very useful,Somewhat useful,,,,Very useful,Somewhat useful,,,Very useful,,Somewhat useful,Somewhat useful,Very useful,,Somewhat useful,Somewhat useful
"Arxiv,College/University,Textbook",Very useful,,Very useful,,,,,,,,,,,,Very useful,,,
"Arxiv,College/University,Kaggle,Online courses,Personal Projects,Stack Overflow Q&A",Somewhat useful,,Somewhat useful,,,,Very useful,,,,Somewhat useful,Very useful,,Somewhat useful,,,,
"Kaggle,Stack Overflow Q&A,YouTube Videos",,,,,,,Very useful,,,,,,,Very useful,,,,Very useful
"Blogs,Kaggle,Personal Projects,Stack Overflow Q&A,Tutoring/mentoring,YouTube Videos,Other",,Somewhat useful,,,,,Very useful,,,,,Not Useful,,Very useful,,,Somewhat useful,Very useful
"Blogs,College/University,Company internal community,Online courses,Textbook,Other",,Very useful,Somewhat useful,Not Useful,,,,,,,Very useful,,,,Very useful,,,
"College/University,Online courses,Stack Overflow Q&A",,,Very useful,,,,,,,,Very useful,,,Very useful,,,,
"Blogs,Conferences,Kaggle,YouTube Videos",,Very useful,,,Very useful,,Somewhat useful,,,,,,,,,,,Very useful
"Online courses,YouTube Videos",,,,,,,,,,,Very useful,,,,,,,Somewhat useful
"Blogs,Conferences,Kaggle,Newsletters,Stack Overflow Q&A,YouTube Videos",,Somewhat useful,,,Very useful,,Very useful,Very useful,,,,,,Very useful,,,,Very useful
"Arxiv,Friends network,Kaggle,Official documentation,Online courses,Stack Overflow Q&A,YouTube Videos",Somewhat useful,,,,,Very useful,Somewhat useful,,,Somewhat useful,Somewhat useful,,,Very useful,,,,Somewhat useful
"Kaggle,Non-Kaggle online communities,Official documentation,Online courses,Personal Projects,Textbook",,,,,,,Very useful,,Somewhat useful,Somewhat useful,Very useful,Somewhat useful,,,Somewhat useful,,,
"Online courses,YouTube Videos",,,,,,,,,,,Very useful,,,,,,,Very useful
"Blogs,Friends network,Online courses,Personal Projects,Podcasts,Stack Overflow Q&A,Trade book,YouTube Videos",,Somewhat useful,,,,Somewhat useful,,,,,Very useful,Very useful,Somewhat useful,Very useful,,Very useful,,Not Useful
"Friends network,Kaggle,Non-Kaggle online communities,Online courses,Tutoring/mentoring,YouTube Videos",,,,,,Somewhat useful,Very useful,,Somewhat useful,,Very useful,,,,,,Very useful,Very useful
"Blogs,Conferences,Kaggle,Online courses,Personal Projects,YouTube Videos",,Very useful,,,Somewhat useful,,Very useful,,,,Very useful,Very useful,,,,,,Very useful
"Blogs,Kaggle,Online courses,Stack Overflow Q&A,Textbook",,Very useful,,,,,Somewhat useful,,,,Very useful,,,Very useful,Very useful,,,
